clip,frame,player_id,player_label,foot_x,foot_y,bbox_x1,bbox_y1,bbox_x2,bbox_y2,confidence,pressure
gameRG/Clip1,6,1,player_bottom,777.7108154296875,903.9703979492188,703.7197875976562,673.2949829101562,851.7018432617188,903.9703979492188,0.8472108840942383,1
gameRG/Clip1,6,2,player_top,1182.9715576171875,311.76031494140625,1149.78466796875,217.4571075439453,1216.158447265625,311.76031494140625,0.8686099052429199,1
gameRG/Clip1,7,1,player_bottom,779.2981567382812,898.0088500976562,709.09765625,674.9263916015625,849.4986572265625,898.0088500976562,0.7249445915222168,1
gameRG/Clip1,7,2,player_top,1182.9521484375,311.75848388671875,1149.4879150390625,216.21067810058594,1216.41650390625,311.75848388671875,0.866215169429779,1
gameRG/Clip1,8,1,player_bottom,783.2117309570312,897.3850708007812,711.832763671875,665.8285522460938,854.5906982421875,897.3850708007812,0.8400103449821472,1
gameRG/Clip1,8,2,player_top,1182.9415283203125,311.7371826171875,1149.4371337890625,215.5890350341797,1216.4459228515625,311.7371826171875,0.8683779239654541,1
gameRG/Clip1,9,1,player_bottom,782.6859130859375,896.8509521484375,712.4253540039062,662.74853515625,852.9464111328125,896.8509521484375,0.7010324001312256,1
gameRG/Clip1,9,2,player_top,1182.953125,311.7581787109375,1149.396240234375,214.92193603515625,1216.5098876953125,311.7581787109375,0.8693780303001404,1
gameRG/Clip1,10,1,player_bottom,786.0193481445312,896.1260375976562,715.1957397460938,654.5001831054688,856.8429565429688,896.1260375976562,0.800266444683075,1
gameRG/Clip1,10,2,player_top,1182.95947265625,311.7825622558594,1149.483642578125,214.64364624023438,1216.435302734375,311.7825622558594,0.8688468933105469,1
gameRG/Clip1,11,1,player_bottom,789.8741455078125,896.3273315429688,719.3250122070312,650.9387817382812,860.4232177734375,896.3273315429688,0.8514510989189148,1
gameRG/Clip1,11,2,player_top,1182.9755859375,311.804443359375,1149.6402587890625,214.55853271484375,1216.310791015625,311.804443359375,0.8701455593109131,1
gameRG/Clip1,12,1,player_bottom,791.926513671875,902.5830078125,724.1449584960938,663.599609375,859.7080078125,902.5830078125,0.8543888926506042,1
gameRG/Clip1,12,2,player_top,1182.8102416992188,311.4569854736328,1149.7105102539062,214.77783966064453,1215.909912109375,311.4569854736328,0.7600449621677399,1
gameRG/Clip1,13,1,player_bottom,792.7073974609375,902.4860229492188,727.4380493164062,669.262939453125,857.9766845703125,902.4860229492188,0.8320611119270325,1
gameRG/Clip1,13,2,player_top,1182.6448974609375,311.1095275878906,1149.78076171875,214.9971466064453,1215.509033203125,311.1095275878906,0.6499443650245667,1
gameRG/Clip1,14,1,player_bottom,793.94873046875,902.712646484375,729.5564575195312,669.8992919921875,858.341064453125,902.712646484375,0.8612848520278931,1
gameRG/Clip1,14,2,player_top,1182.587890625,310.9677429199219,1149.8321533203125,214.8975372314453,1215.3436279296875,310.9677429199219,0.6858413815498352,1
gameRG/Clip1,15,1,player_bottom,795.714599609375,904.9971313476562,731.7785034179688,671.5709228515625,859.650634765625,904.9971313476562,0.8490598797798157,1
gameRG/Clip1,15,2,player_top,1182.5498046875,310.9517822265625,1149.871337890625,214.8374786376953,1215.2283935546875,310.9517822265625,0.7533040046691895,1
gameRG/Clip1,16,1,player_bottom,795.7891845703125,905.1757202148438,732.2369995117188,670.9091796875,859.34130859375,905.1757202148438,0.8546543717384338,1
gameRG/Clip1,16,2,player_top,1182.544189453125,310.97552490234375,1149.9127197265625,214.74874877929688,1215.17578125,310.97552490234375,0.7457127571105957,1
gameRG/Clip1,17,1,player_bottom,795.5137939453125,905.4933471679688,733.2866821289062,674.027099609375,857.7408447265625,905.4933471679688,0.8144347667694092,1
gameRG/Clip1,17,2,player_top,1182.51904296875,310.97735595703125,1149.958251953125,214.71861267089844,1215.079833984375,310.97735595703125,0.7749082446098328,1
gameRG/Clip1,18,1,player_bottom,794.2335205078125,906.4407958984375,732.0717163085938,672.0703735351562,856.395263671875,906.4407958984375,0.8100507855415344,1
gameRG/Clip1,18,2,player_top,1182.525390625,310.9200134277344,1150.1697998046875,215.13156127929688,1214.880859375,310.9200134277344,0.7090286016464233,1
gameRG/Clip1,19,1,player_bottom,795.413330078125,905.9526977539062,734.6978149414062,674.463134765625,856.12890625,905.9526977539062,0.8461570143699646,1
gameRG/Clip1,19,2,player_top,1182.564453125,310.93536376953125,1150.1771240234375,214.86940002441406,1214.9517822265625,310.93536376953125,0.748605489730835,1
