clip,frame,ball_real_x,ball_real_y,is_real_bounce,bounce_in
Dataset_Clutch/Clip65,77,0.8100360521931004,24.027765728899396,1,1.0
Dataset_Clutch/Clip65,88,0.8502948726881788,21.86638932667521,1,1.0
Dataset_Clutch/Clip66,164,2.8365256755777684,7.059952605956758,1,1.0
Dataset_Clutch/Clip66,173,2.000094171849592,0.006396345488879307,1,1.0
Dataset_Clutch/Clip66,307,8.142946128413746,0.9732454140695999,1,1.0
Dataset_Clutch/Clip67,181,2.7075694685814544,21.851303417314245,1,1.0
Dataset_Clutch/Clip67,195,0.5415627953323713,21.639770453919073,1,1.0
Dataset_Clutch/Clip67,381,6.0778916270050765,2.4179962026858455,1,1.0
Dataset_Clutch/Clip67,504,2.9317735561561986,2.554670233989834,1,1.0
Dataset_Clutch/Clip69,55,4.36597874302236,13.8826884621521,1,1.0
Dataset_Clutch/Clip69,75,-0.1816132691690655,19.885883157282688,1,1.0
Dataset_Clutch/Clip69,384,0.4220195797263846,3.0367564428815648,1,1.0
Dataset_Clutch/Clip69,472,-0.16557481630876228,13.134025798279751,1,1.0
Dataset_Clutch/Clip69,498,6.0247716475895015,16.83727360856992,1,1.0
Dataset_Clutch/Clip69,591,3.1471841645381815,2.0357956516252464,1,1.0
Dataset_Clutch/Clip69,707,6.174169983796156,0.6145322548897489,1,1.0
Dataset_Clutch/Clip70,68,7.59319836252377,17.009536330035164,1,1.0
Dataset_Clutch/Clip71,155,5.125914446150575,1.4237432896604623,1,1.0
Dataset_Clutch/Clip71,285,7.422998096703046,0.21320466477175212,1,1.0
Dataset_Clutch/Clip71,380,1.847158213104027,5.64389867959382,1,1.0
Dataset_Clutch/Clip71,409,2.137798321453147,0.300989674628271,1,1.0
Dataset_Clutch/Clip71,451,6.917170260461892,19.822658402040823,1,1.0
Dataset_Clutch/Clip71,561,5.151686409375321,23.011499238133638,1,1.0
Dataset_Clutch/Clip71,657,2.747052822044696,0.9038642639340301,1,1.0
Dataset_Clutch/Clip72,42,4.095052526598371,16.30247483120796,1,1.0
Dataset_Clutch/Clip72,107,4.566667735991636,6.4712676803911995,1,1.0
Dataset_Clutch/Clip73,505,3.279006573381738,4.899607056628703,1,1.0
Dataset_Clutch/Clip73,523,2.2179901620060853,4.614688550192201,1,1.0
Dataset_Clutch/Clip74,140,2.305794511407393,3.5560875590461527,1,1.0
Dataset_Clutch/Clip74,270,2.9094714278758254,4.019002496218364,1,1.0
Dataset_Clutch/Clip75,110,1.8382898507654868,0.7631006854384447,1,1.0
Dataset_Clutch/Clip77,120,7.116263557201724,4.6414430994760325,1,1.0
Dataset_Clutch/Clip79,155,2.825403676682085,3.0895405166377565,1,1.0
Dataset_Clutch/Clip79,306,2.6964449220760036,14.733550028780527,1,1.0
Dataset_Clutch/Clip79,481,0.8620776575551046,20.96206007456635,1,1.0
Dataset_Clutch/Clip79,678,2.8970610387755626,1.9555372212034259,1,1.0
Dataset_Clutch/Clip79,725,8.375495609729368,22.74608307388694,1,1.0
Dataset_Clutch/Clip80,250,0.3235643063124398,1.5012941479911748,1,1.0
Dataset_Clutch/Clip80,340,8.115502228469708,14.50496278161847,1,1.0
Dataset_Clutch/Clip81,48,5.420211493575624,16.288824010232947,1,1.0
Dataset_Clutch/Clip82,98,6.076016767663391,21.14129934753917,1,1.0
Dataset_Clutch/Clip83,102,3.4824883754150764,23.266813704800835,1,1.0
Dataset_Clutch/Clip84,97,7.0715816770527296,0.6771199052798008,1,1.0
Dataset_Clutch/Clip84,156,5.352239665652539,0.32289259980783547,1,1.0
Dataset_Clutch/Clip85,176,4.199418334110813,4.095635073698975,1,1.0
Dataset_Clutch/Clip85,189,4.5749568488166785,4.981957678352096,1,1.0
Dataset_Clutch/Clip86,60,7.171363067649034,0.5981184778408781,1,1.0
Dataset_Clutch/Clip86,184,7.692913033085506,22.51295223473456,1,1.0
Dataset_Clutch/Clip86,209,6.997371732578122,17.58908245374193,1,1.0
Dataset_Clutch/Clip86,450,6.066843890265967,22.055759383229404,1,1.0
Dataset_Clutch/Clip86,972,8.112473115110708,6.871853777745335,1,1.0
Dataset_Clutch/Clip86,1262,4.455353763529856,2.9740666591801403,1,1.0
Dataset_Clutch/Clip86,1408,-0.18150393139326654,11.477352756861254,1,1.0
Dataset_Clutch/Clip86,1436,3.3311778364472735,20.500692228820558,1,1.0
Dataset_Clutch/Clip86,1495,6.5932223617229155,21.362484261030808,1,1.0
Dataset_Clutch/Clip86,1506,6.70746228878438,17.01840193930973,1,1.0
Dataset_Clutch/Clip86,1540,8.572213342535122,14.66935990019869,1,1.0
Dataset_Clutch/Clip87,49,7.249679585070848,9.064727596146781,1,1.0
Dataset_Clutch/Clip87,145,6.986101678005772,0.37154162271122043,1,1.0
Dataset_Clutch/Clip88,164,6.31137739744757,22.287705992054434,1,1.0
Dataset_Clutch/Clip89,96,6.0556906282921785,0.4630504256989474,1,1.0
Dataset_Clutch/Clip89,216,7.336563435442113,2.6614637034603996,1,1.0
Dataset_Clutch/Clip89,252,1.329961825358555,20.737063132107945,1,1.0
Dataset_Clutch/Clip89,456,-0.07406458559411201,2.0029366732599483,1,1.0
Dataset_Clutch/Clip89,481,1.349412627055609,15.263152241842304,1,1.0
Dataset_Clutch/Clip90,168,6.59396017440089,23.243281380942555,1,1.0
Dataset_Clutch/Clip90,227,6.290825130568718,5.161692935365731,1,1.0
Dataset_Clutch/Clip90,289,1.4883533981472992,22.09253153521348,1,1.0
Dataset_Clutch/Clip90,428,1.407570620284921,16.330159309290135,1,1.0
Dataset_Clutch/Clip90,496,3.1971973182718276,7.0549232205744365,1,1.0
Dataset_Clutch/Clip91,432,0.9821630108065679,16.51755475743596,1,1.0
Dataset_Clutch/Clip91,481,0.5449162293418051,1.2560734766637793,1,1.0
Dataset_Clutch/Clip91,628,3.725956243370594,22.54407995012614,1,1.0
Dataset_Clutch/Clip91,727,7.332442693464993,0.828809268922309,1,1.0
Dataset_Clutch/Clip92,139,8.063773588249417,3.3748609582834583,1,1.0
Dataset_Clutch/Clip92,224,5.645089339332708,17.99259625250539,1,1.0
Dataset_Clutch/Clip93,225,4.974323497887701,23.747811882056023,1,1.0
Dataset_Clutch/Clip95,252,7.445842596484187,7.461180420023668,1,1.0
Dataset_Clutch/Clip96,104,5.755114301606736,22.528157655563952,1,1.0
Dataset_Clutch/Clip96,116,7.0414721665751125,21.133198238425692,1,1.0
Dataset_Clutch/Clip96,151,6.605491751231908,22.521484956910925,1,1.0
Dataset_Clutch/Clip96,171,4.179060247965321,6.476758750799254,1,1.0
Dataset_Clutch/Clip96,194,2.5446941641966654,1.7112493930108266,1,1.0
Dataset_Clutch/Clip96,250,8.436268912421541,7.0971538031143115,1,1.0
Dataset_Clutch/Clip99,234,6.726234084253683,19.612489946936666,1,1.0
Dataset_Clutch/Clip99,310,0.19915966103369187,1.8316669046665646,1,1.0
Dataset_Clutch/Clip100,48,1.1319139913341143,10.611803419717582,1,1.0
Dataset_Clutch/Clip100,199,0.893641820006135,1.573528536455166,1,1.0
Dataset_Clutch/Clip100,245,5.786053683989499,22.058014550114343,1,1.0
Dataset_Clutch/Clip100,320,0.4099113047969733,2.1640004594845057,1,1.0
