00:52:08 | INFO    | src.tracking.player_tracker | Jugadores | Dataset_Clutch/Clip21 | 250 frames | 1920x1080
00:52:21 | INFO    | src.tracking.player_tracker | Jugadores | Dataset_Clutch/Clip21 | 12 tracks -> 2 seleccionados por movimiento
00:52:21 | INFO    | src.pipeline.orchestrator | [JUGADORES] Clip21 acumulado (500 filas) | presion punto: (1, 0).
00:52:21 | INFO    | src.tracking.player_tracker | Jugadores | Dataset_Clutch/Clip22 | 250 frames | 1920x1080
00:52:33 | INFO    | src.tracking.player_tracker | Jugadores | Dataset_Clutch/Clip22 | 9 tracks -> 2 seleccionados por movimiento
00:52:33 | INFO    | src.pipeline.orchestrator | [JUGADORES] Clip22 acumulado (500 filas) | presion punto: (0, 0).
00:52:33 | INFO    | src.tracking.player_tracker | Jugadores | Dataset_Clutch/Clip23 | 300 frames | 1920x1080
00:52:48 | INFO    | src.tracking.player_tracker | Jugadores | Dataset_Clutch/Clip23 | 13 tracks -> 2 seleccionados por movimiento
00:52:48 | INFO    | src.pipeline.orchestrator | [JUGADORES] Clip23 acumulado (600 filas) | presion punto: (1, 0).
00:52:48 | INFO    | src.tracking.player_tracker | Jugadores | Dataset_Clutch/Clip24 | 900 frames | 1920x1080
00:53:33 | INFO    | src.tracking.player_tracker | Jugadores | Dataset_Clutch/Clip24 | 12 tracks -> 2 seleccionados por movimiento
00:53:33 | INFO    | src.pipeline.orchestrator | [JUGADORES] Clip24 acumulado (1800 filas) | presion punto: (0, 0).
00:53:33 | INFO    | src.tracking.player_tracker | Jugadores | Dataset_Clutch/Clip25 | 250 frames | 1920x1080
00:53:45 | INFO    | src.tracking.player_tracker | Jugadores | Dataset_Clutch/Clip25 | 9 tracks -> 2 seleccionados por movimiento
00:53:45 | INFO    | src.pipeline.orchestrator | [JUGADORES] Clip25 acumulado (500 filas) | presion punto: (1, 0).
00:53:45 | INFO    | src.tracking.player_tracker | Jugadores | Dataset_Clutch/Clip26 | 434 frames | 1920x1080
00:54:06 | INFO    | src.tracking.player_tracker | Jugadores | Dataset_Clutch/Clip26 | 11 tracks -> 2 seleccionados por movimiento
00:54:06 | INFO    | src.pipeline.orchestrator | [JUGADORES] Clip26 acumulado (868 filas) | presion punto: (1, 0).
00:54:06 | INFO    | src.tracking.player_tracker | Jugadores | Dataset_Clutch/Clip27 | 100 frames | 1920x1080
00:54:11 | INFO    | src.tracking.player_tracker | Jugadores | Dataset_Clutch/Clip27 | 10 tracks -> 1 seleccionados por movimiento
00:54:11 | INFO    | src.pipeline.orchestrator | [JUGADORES] Clip27 acumulado (100 filas) | presion punto: (0, 0).
00:54:11 | INFO    | src.tracking.player_tracker | Jugadores | Dataset_Clutch/Clip28 | 100 frames | 1920x1080
00:54:16 | INFO    | src.tracking.player_tracker | Jugadores | Dataset_Clutch/Clip28 | 7 tracks -> 1 seleccionados por movimiento
00:54:17 | INFO    | src.pipeline.orchestrator | [JUGADORES] Clip28 acumulado (100 filas) | presion punto: (0, 0).
00:54:17 | INFO    | src.tracking.player_tracker | Jugadores | Dataset_Clutch/Clip29 | 200 frames | 1920x1080
00:54:26 | INFO    | src.tracking.player_tracker | Jugadores | Dataset_Clutch/Clip29 | 8 tracks -> 2 seleccionados por movimiento
00:54:26 | INFO    | src.pipeline.orchestrator | [JUGADORES] Clip29 acumulado (400 filas) | presion punto: (0, 0).
00:54:26 | INFO    | src.tracking.player_tracker | Jugadores | Dataset_Clutch/Clip30 | 50 frames | 1920x1080
00:54:29 | INFO    | src.tracking.player_tracker | Jugadores | Dataset_Clutch/Clip30 | 7 tracks -> 1 seleccionados por movimiento
00:54:29 | INFO    | src.pipeline.orchestrator | [JUGADORES] Clip30 acumulado (50 filas) | presion punto: (0, 0).
00:54:29 | INFO    | src.tracking.player_tracker | Jugadores | Dataset_Clutch/Clip31 | 150 frames | 1920x1080
00:54:37 | INFO    | src.tracking.player_tracker | Jugadores | Dataset_Clutch/Clip31 | 10 tracks -> 2 seleccionados por movimiento
00:54:37 | INFO    | src.pipeline.orchestrator | [JUGADORES] Clip31 acumulado (300 filas) | presion punto: (1, 0).
00:54:37 | INFO    | src.tracking.player_tracker | Jugadores | Dataset_Clutch/Clip32 | 500 frames | 1920x1080
00:55:02 | INFO    | src.tracking.player_tracker | Jugadores | Dataset_Clutch/Clip32 | 15 tracks -> 2 seleccionados por movimiento
00:55:02 | INFO    | src.pipeline.orchestrator | [JUGADORES] Clip32 acumulado (1000 filas) | presion punto: (0, 0).
00:55:02 | INFO    | src.tracking.player_tracker | Jugadores | Dataset_Clutch/Clip33 | 396 frames | 1920x1080
00:55:23 | INFO    | src.tracking.player_tracker | Jugadores | Dataset_Clutch/Clip33 | 19 tracks -> 2 seleccionados por movimiento
00:55:23 | INFO    | src.pipeline.orchestrator | [JUGADORES] Clip33 acumulado (792 filas) | presion punto: (0, 0).
00:55:23 | INFO    | src.tracking.player_tracker | Jugadores | Dataset_Clutch/Clip34 | 250 frames | 1920x1080
00:55:36 | INFO    | src.tracking.player_tracker | Jugadores | Dataset_Clutch/Clip34 | 13 tracks -> 2 seleccionados por movimiento
00:55:36 | INFO    | src.pipeline.orchestrator | [JUGADORES] Clip34 acumulado (500 filas) | presion punto: (0, 0).
00:55:36 | INFO    | src.tracking.player_tracker | Jugadores | Dataset_Clutch/Clip35 | 300 frames | 1920x1080
00:55:51 | INFO    | src.tracking.player_tracker | Jugadores | Dataset_Clutch/Clip35 | 14 tracks -> 2 seleccionados por movimiento
00:55:51 | INFO    | src.pipeline.orchestrator | [JUGADORES] Clip35 acumulado (600 filas) | presion punto: (0, 0).
00:55:51 | INFO    | src.tracking.player_tracker | Jugadores | Dataset_Clutch/Clip36 | 450 frames | 1920x1080
00:56:14 | INFO    | src.tracking.player_tracker | Jugadores | Dataset_Clutch/Clip36 | 11 tracks -> 2 seleccionados por movimiento
00:56:14 | INFO    | src.pipeline.orchestrator | [JUGADORES] Clip36 acumulado (900 filas) | presion punto: (1, 0).
00:56:14 | INFO    | src.tracking.player_tracker | Jugadores | Dataset_Clutch/Clip37 | 100 frames | 1920x1080
00:56:19 | INFO    | src.tracking.player_tracker | Jugadores | Dataset_Clutch/Clip37 | 9 tracks -> 1 seleccionados por movimiento
00:56:19 | INFO    | src.pipeline.orchestrator | [JUGADORES] Clip37 acumulado (100 filas) | presion punto: (0, 0).
